,Id,Calories,hour,hour_cat
214,1503960366,62,22,6
215,1503960366,120,23,6
216,1503960366,54,0,1
217,1503960366,61,1,1
218,1503960366,55,2,1
219,1503960366,48,3,1
220,1503960366,47,4,2
221,1503960366,47,5,2
222,1503960366,48,6,2
223,1503960366,52,7,2
224,1503960366,71,8,3
225,1503960366,133,9,3
226,1503960366,77,10,3
227,1503960366,55,11,3
228,1503960366,73,12,4
229,1503960366,113,13,4
230,1503960366,58,14,4
231,1503960366,68,15,4
232,1503960366,60,16,5
233,1503960366,60,17,5
234,1503960366,69,18,5
235,1503960366,64,19,5
236,1503960366,213,20,6
237,1503960366,104,21,6
238,1503960366,63,22,6
239,1503960366,84,23,6
240,1503960366,47,0,1
241,1503960366,47,1,1
242,1503960366,47,2,1
243,1503960366,47,3,1
244,1503960366,47,4,2
245,1503960366,47,5,2
246,1503960366,47,6,2
247,1503960366,47,7,2
248,1503960366,47,8,3
249,1503960366,65,9,3
250,1503960366,54,10,3
251,1503960366,102,11,3
252,1503960366,57,12,4
253,1503960366,60,13,4
254,1503960366,54,14,4
255,1503960366,66,15,4
256,1503960366,58,16,5
257,1503960366,104,17,5
258,1503960366,87,18,5
259,1503960366,82,19,5
260,1503960366,71,20,6
261,1503960366,311,21,6
262,1503960366,95,22,6
263,1503960366,136,23,6
264,1503960366,63,0,1
265,1503960366,47,1,1
266,1503960366,49,2,1
267,1503960366,47,3,1
268,1503960366,47,4,2
269,1503960366,48,5,2
270,1503960366,50,6,2
271,1503960366,48,7,2
272,1503960366,59,8,3
273,1503960366,75,9,3
274,1503960366,56,10,3
275,1503960366,84,11,3
276,1503960366,129,12,4
277,1503960366,129,13,4
278,1503960366,78,14,4
279,1503960366,73,15,4
280,1503960366,140,16,5
281,1503960366,121,17,5
282,1503960366,173,18,5
283,1503960366,51,19,5
284,1503960366,63,20,6
285,1503960366,162,21,6
286,1503960366,96,22,6
287,1503960366,60,23,6
288,1503960366,66,0,1
289,1503960366,54,1,1
290,1503960366,48,2,1
291,1503960366,48,3,1
292,1503960366,49,4,2
293,1503960366,48,5,2
294,1503960366,49,6,2
295,1503960366,47,7,2
296,1503960366,49,8,3
297,1503960366,59,9,3
298,1503960366,90,10,3
299,1503960366,67,11,3
300,1503960366,82,12,4
301,1503960366,74,13,4
302,1503960366,52,14,4
303,1503960366,52,15,4
304,1503960366,102,16,5
305,1503960366,86,17,5
306,1503960366,115,18,5
307,1503960366,270,19,5
308,1503960366,76,20,6
309,1503960366,74,21,6
310,1503960366,61,22,6
311,1503960366,72,23,6
312,1503960366,62,0,1
313,1503960366,53,1,1
314,1503960366,57,2,1
315,1503960366,47,3,1
316,1503960366,50,4,2
317,1503960366,49,5,2
318,1503960366,47,6,2
319,1503960366,52,7,2
320,1503960366,83,8,3
321,1503960366,146,9,3
322,1503960366,73,10,3
323,1503960366,121,11,3
324,1503960366,92,12,4
325,1503960366,75,13,4
326,1503960366,62,14,4
327,1503960366,76,15,4
328,1503960366,71,16,5
329,1503960366,67,17,5
330,1503960366,61,18,5
331,1503960366,182,19,5
332,1503960366,95,20,6
333,1503960366,267,21,6
334,1503960366,68,22,6
335,1503960366,54,23,6
336,1503960366,56,0,1
337,1503960366,66,1,1
338,1503960366,51,2,1
339,1503960366,64,3,1
340,1503960366,48,4,2
341,1503960366,49,5,2
342,1503960366,48,6,2
343,1503960366,52,7,2
344,1503960366,67,8,3
345,1503960366,139,9,3
346,1503960366,92,10,3
347,1503960366,78,11,3
348,1503960366,74,12,4
349,1503960366,126,13,4
350,1503960366,142,14,4
351,1503960366,74,15,4
352,1503960366,93,16,5
353,1503960366,60,17,5
354,1503960366,169,18,5
355,1503960366,73,19,5
356,1503960366,127,20,6
357,1503960366,79,21,6
358,1503960366,66,22,6
359,1503960366,80,23,6
360,1503960366,68,0,1
361,1503960366,59,1,1
362,1503960366,53,2,1
363,1503960366,47,3,1
364,1503960366,47,4,2
365,1503960366,47,5,2
366,1503960366,47,6,2
367,1503960366,47,7,2
368,1503960366,47,8,3
369,1503960366,149,9,3
370,1503960366,93,10,3
371,1503960366,100,11,3
372,1503960366,89,12,4
373,1503960366,76,13,4
374,1503960366,150,14,4
375,1503960366,63,15,4
376,1503960366,64,16,5
377,1503960366,73,17,5
378,1503960366,178,18,5
379,1503960366,318,19,5
380,1503960366,174,20,6
381,1503960366,76,21,6
382,1503960366,47,22,6
383,1503960366,47,23,6
384,1503960366,47,0,1
385,1503960366,62,1,1
386,1503960366,48,2,1
387,1503960366,47,3,1
388,1503960366,48,4,2
389,1503960366,47,5,2
390,1503960366,48,6,2
391,1503960366,49,7,2
392,1503960366,63,8,3
393,1503960366,116,9,3
394,1503960366,105,10,3
395,1503960366,73,11,3
396,1503960366,78,12,4
397,1503960366,108,13,4
398,1503960366,124,14,4
399,1503960366,61,15,4
400,1503960366,81,16,5
401,1503960366,72,17,5
402,1503960366,138,18,5
403,1503960366,56,19,5
404,1503960366,151,20,6
405,1503960366,103,21,6
406,1503960366,55,22,6
407,1503960366,121,23,6
408,1503960366,65,0,1
409,1503960366,49,1,1
410,1503960366,54,2,1
411,1503960366,47,3,1
412,1503960366,47,4,2
413,1503960366,48,5,2
414,1503960366,47,6,2
415,1503960366,52,7,2
416,1503960366,67,8,3
417,1503960366,142,9,3
418,1503960366,60,10,3
419,1503960366,60,11,3
420,1503960366,65,12,4
421,1503960366,62,13,4
422,1503960366,136,14,4
423,1503960366,110,15,4
424,1503960366,73,16,5
425,1503960366,75,17,5
426,1503960366,60,18,5
427,1503960366,71,19,5
428,1503960366,80,20,6
429,1503960366,118,21,6
430,1503960366,111,22,6
431,1503960366,140,23,6
432,1503960366,51,0,1
433,1503960366,57,1,1
434,1503960366,47,2,1
435,1503960366,49,3,1
436,1503960366,47,4,2
437,1503960366,48,5,2
438,1503960366,48,6,2
439,1503960366,48,7,2
440,1503960366,52,8,3
441,1503960366,64,9,3
442,1503960366,72,10,3
443,1503960366,62,11,3
444,1503960366,58,12,4
445,1503960366,65,13,4
446,1503960366,85,14,4
447,1503960366,94,15,4
448,1503960366,203,16,5
449,1503960366,160,17,5
450,1503960366,159,18,5
451,1503960366,60,19,5
452,1503960366,62,20,6
453,1503960366,96,21,6
454,1503960366,144,22,6
455,1503960366,116,23,6
456,1503960366,64,0,1
457,1503960366,60,1,1
458,1503960366,50,2,1
459,1503960366,48,3,1
460,1503960366,47,4,2
461,1503960366,48,5,2
462,1503960366,47,6,2
463,1503960366,52,7,2
464,1503960366,56,8,3
465,1503960366,67,9,3
466,1503960366,61,10,3
467,1503960366,65,11,3
468,1503960366,66,12,4
469,1503960366,57,13,4
470,1503960366,91,14,4
471,1503960366,81,15,4
472,1503960366,97,16,5
473,1503960366,108,17,5
474,1503960366,159,18,5
475,1503960366,71,19,5
476,1503960366,59,20,6
477,1503960366,86,21,6
478,1503960366,127,22,6
479,1503960366,161,23,6
480,1503960366,50,0,1
481,1503960366,59,1,1
482,1503960366,47,2,1
483,1503960366,49,3,1
484,1503960366,47,4,2
485,1503960366,47,5,2
486,1503960366,47,6,2
487,1503960366,51,7,2
488,1503960366,68,8,3
489,1503960366,142,9,3
490,1503960366,82,10,3
491,1503960366,78,11,3
492,1503960366,153,12,4
493,1503960366,107,13,4
494,1503960366,75,14,4
495,1503960366,76,15,4
496,1503960366,88,16,5
497,1503960366,73,17,5
498,1503960366,68,18,5
499,1503960366,73,19,5
500,1503960366,231,20,6
501,1503960366,119,21,6
502,1503960366,106,22,6
503,1503960366,80,23,6
504,1503960366,54,0,1
505,1503960366,58,1,1
506,1503960366,49,2,1
507,1503960366,57,3,1
508,1503960366,47,4,2
509,1503960366,47,5,2
510,1503960366,50,6,2
511,1503960366,51,7,2
512,1503960366,64,8,3
513,1503960366,114,9,3
514,1503960366,99,10,3
515,1503960366,74,11,3
516,1503960366,81,12,4
517,1503960366,83,13,4
518,1503960366,88,14,4
519,1503960366,136,15,4
520,1503960366,103,16,5
521,1503960366,89,17,5
522,1503960366,191,18,5
523,1503960366,58,19,5
524,1503960366,50,20,6
525,1503960366,109,21,6
526,1503960366,163,22,6
527,1503960366,77,23,6
528,1503960366,79,0,1
529,1503960366,53,1,1
530,1503960366,47,2,1
531,1503960366,47,3,1
532,1503960366,47,4,2
533,1503960366,47,5,2
534,1503960366,47,6,2
535,1503960366,47,7,2
536,1503960366,53,8,3
537,1503960366,125,9,3
538,1503960366,87,10,3
539,1503960366,65,11,3
540,1503960366,75,12,4
541,1503960366,76,13,4
542,1503960366,152,14,4
543,1503960366,65,15,4
544,1503960366,64,16,5
545,1503960366,71,17,5
546,1503960366,145,18,5
547,1503960366,78,19,5
548,1503960366,124,20,6
549,1503960366,110,21,6
550,1503960366,63,22,6
551,1503960366,52,23,6
552,1503960366,56,0,1
553,1503960366,58,1,1
554,1503960366,52,2,1
555,1503960366,47,3,1
556,1503960366,53,4,2
557,1503960366,47,5,2
558,1503960366,49,6,2
559,1503960366,51,7,2
560,1503960366,61,8,3
561,1503960366,131,9,3
562,1503960366,78,10,3
563,1503960366,59,11,3
564,1503960366,75,12,4
565,1503960366,110,13,4
566,1503960366,75,14,4
567,1503960366,72,15,4
568,1503960366,102,16,5
569,1503960366,154,17,5
570,1503960366,95,18,5
571,1503960366,82,19,5
572,1503960366,79,20,6
573,1503960366,219,21,6
574,1503960366,95,22,6
575,1503960366,60,23,6
576,1503960366,68,0,1
577,1503960366,51,1,1
578,1503960366,57,2,1
579,1503960366,47,3,1
580,1503960366,48,4,2
581,1503960366,47,5,2
582,1503960366,48,6,2
583,1503960366,51,7,2
584,1503960366,63,8,3
585,1503960366,134,9,3
586,1503960366,85,10,3
587,1503960366,65,11,3
588,1503960366,72,12,4
589,1503960366,66,13,4
590,1503960366,83,14,4
591,1503960366,104,15,4
592,1503960366,78,16,5
593,1503960366,73,17,5
594,1503960366,127,18,5
595,1503960366,172,19,5
596,1503960366,73,20,6
597,1503960366,83,21,6
598,1503960366,78,22,6
599,1503960366,124,23,6
600,1503960366,65,0,1
601,1503960366,48,1,1
602,1503960366,50,2,1
603,1503960366,47,3,1
604,1503960366,48,4,2
605,1503960366,47,5,2
606,1503960366,47,6,2
607,1503960366,47,7,2
608,1503960366,61,8,3
609,1503960366,59,9,3
610,1503960366,133,10,3
611,1503960366,164,11,3
612,1503960366,62,12,4
613,1503960366,55,13,4
614,1503960366,64,14,4
615,1503960366,65,15,4
616,1503960366,68,16,5
617,1503960366,64,17,5
618,1503960366,71,18,5
619,1503960366,91,19,5
620,1503960366,59,20,6
621,1503960366,140,21,6
622,1503960366,209,22,6
623,1503960366,55,23,6
624,1503960366,62,0,1
625,1503960366,48,1,1
626,1503960366,47,2,1
627,1503960366,47,3,1
628,1503960366,48,4,2
629,1503960366,47,5,2
630,1503960366,48,6,2
631,1503960366,47,7,2
632,1503960366,47,8,3
633,1503960366,47,9,3
634,1503960366,47,10,3
635,1503960366,47,11,3
636,1503960366,85,12,4
637,1503960366,65,13,4
638,1503960366,98,14,4
639,1503960366,68,15,4
640,1503960366,58,16,5
641,1503960366,69,17,5
642,1503960366,261,18,5
643,1503960366,107,19,5
644,1503960366,88,20,6
645,1503960366,101,21,6
646,1503960366,92,22,6
647,1503960366,66,23,6
648,1503960366,60,0,1
649,1503960366,47,1,1
650,1503960366,47,2,1
651,1503960366,47,3,1
652,1503960366,47,4,2
653,1503960366,49,5,2
654,1503960366,81,6,2
655,1503960366,63,7,2
656,1503960366,58,8,3
657,1503960366,58,9,3
658,1503960366,69,10,3
659,1503960366,74,11,3
660,1503960366,79,12,4
661,1503960366,52,13,4
662,1503960366,51,14,4
663,1503960366,53,15,4
664,1503960366,176,16,5
665,1503960366,125,17,5
666,1503960366,90,18,5
667,1503960366,115,19,5
668,1503960366,117,20,6
669,1503960366,168,21,6
670,1503960366,47,22,6
671,1503960366,47,23,6
672,1503960366,47,0,1
673,1503960366,58,1,1
674,1503960366,47,2,1
675,1503960366,47,3,1
676,1503960366,47,4,2
677,1503960366,47,5,2
678,1503960366,47,6,2
679,1503960366,53,7,2
680,1503960366,67,8,3
681,1503960366,118,9,3
682,1503960366,76,10,3
683,1503960366,102,11,3
684,1503960366,63,12,4
685,1503960366,73,13,4
686,1503960366,66,14,4
687,1503960366,101,15,4
688,1503960366,83,16,5
689,1503960366,88,17,5
690,1503960366,160,18,5
691,1503960366,127,19,5
692,1503960366,164,20,6
693,1503960366,77,21,6
694,1503960366,50,22,6
695,1503960366,53,23,6
696,1503960366,72,0,1
697,1503960366,54,1,1
698,1503960366,54,2,1
699,1503960366,49,3,1
700,1503960366,47,4,2
701,1503960366,47,5,2
702,1503960366,47,6,2
703,1503960366,53,7,2
704,1503960366,78,8,3
705,1503960366,144,9,3
706,1503960366,89,10,3
707,1503960366,75,11,3
708,1503960366,63,12,4
709,1503960366,101,13,4
710,1503960366,130,14,4
711,1503960366,72,15,4
712,1503960366,70,16,5
713,1503960366,67,17,5
714,1503960366,208,18,5
715,1503960366,90,19,5
716,1503960366,114,20,6
717,1624580081,55,0,1
718,1624580081,51,1,1
719,1624580081,50,2,1
720,1624580081,51,3,1
721,1624580081,50,4,2
